#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
57.708473,92.451202,31.679918,71445430272.000000,7883638784.000000,-17.298088,-17.361328,-19.901949,0.431908,1.366228
69.429199,87.991402,75.965767,71486218240.000000,1465626240.000000,-16.929413,-16.998617,-18.825628,0.213644,0.924097
74.621002,90.410042,85.755997,71864197120.000000,3620936960.000000,-16.161724,-16.384974,-19.206713,0.459656,1.566986
44.472298,86.505989,37.253719,73145147392.000000,3681011456.000000,-15.323772,-15.486519,-18.706303,0.484312,1.532314
69.109009,7.035754,70.712265,73383657472.000000,4599427584.000000,-16.597443,-16.693388,-19.141918,0.424156,1.388931
17.666565,20.385553,64.865204,73513762816.000000,7161239552.000000,-17.058216,-17.183620,-19.772249,0.354862,1.152155
81.661385,56.599636,48.896942,74015334400.000000,19170437120.000000,-16.891861,-16.933208,-20.009846,0.591276,1.733078
32.236179,30.441385,51.931087,74808442880.000000,1349996288.000000,-17.609058,-17.636667,-19.009567,0.164740,0.829901
32.089863,73.131096,44.944004,74907000832.000000,1641269888.000000,-15.998562,-16.072477,-18.279013,0.364153,1.174416
85.476440,86.166481,33.855888,74959364096.000000,2912293376.000000,-17.081442,-17.151049,-19.238016,0.328074,1.226349
3.036385,60.110649,53.314724,75140825088.000000,1478420992.000000,-16.436420,-16.471401,-18.570360,0.279964,1.039314
77.122604,29.893278,43.790710,75154726912.000000,1494267776.000000,-16.526781,-16.567287,-18.348427,0.318199,1.166853
27.514893,80.431046,47.791931,75453005824.000000,5027916800.000000,-17.900967,-17.993284,-20.037281,0.268635,1.057186
74.458260,31.874779,64.007858,75708719104.000000,1541971584.000000,-16.504829,-16.579079,-18.568035,0.346451,1.203529
88.792458,40.464893,65.278419,75761770496.000000,2546413568.000000,-17.353628,-17.422188,-19.284155,0.310787,1.135351
94.133034,77.380211,50.113544,75881390080.000000,2708740864.000000,-16.028811,-16.087702,-18.541540,0.507431,1.553738
79.405128,97.919975,17.129040,76644622336.000000,7202441728.000000,-16.932676,-17.042477,-19.583767,0.445923,1.354443
82.829910,61.537624,54.914288,76725985280.000000,2627354368.000000,-16.681751,-16.718346,-18.745308,0.352554,1.208500
99.813889,13.913811,49.508118,77880614912.000000,5068052480.000000,-15.699779,-15.873944,-19.028421,0.484356,1.447855
83.618591,38.490551,8.821596,77944176640.000000,1078818688.000000,-15.921227,-15.984999,-17.949457,0.397995,1.323826
68.826134,87.961647,98.883980,77968695296.000000,2062855808.000000,-16.454002,-16.555706,-18.722647,0.381296,1.343111
51.308521,43.933739,90.013947,78298472448.000000,2311063808.000000,-15.932439,-16.098345,-18.726023,0.400545,1.341566
15.035192,75.936913,29.631689,79027036160.000000,1269378944.000000,-15.778490,-15.817492,-18.087921,0.387087,1.272726
48.123505,90.655510,44.539192,79645548544.000000,1919688576.000000,-16.021885,-16.085577,-18.368994,0.432531,1.393911
69.933220,28.854563,62.181862,79920308224.000000,1430405120.000000,-15.422829,-15.496480,-17.896088,0.460489,1.402056
58.598087,18.962128,16.292484,79961784320.000000,3221807360.000000,-17.072924,-17.098667,-19.190641,0.316172,1.065147
18.399149,65.428284,6.267895,80068313088.000000,1706205312.000000,-16.836143,-16.920256,-18.838341,0.280613,1.066813
32.137856,9.168528,59.648788,80376954880.000000,1487751424.000000,-16.103809,-16.186483,-18.225115,0.373819,1.240677
73.302475,74.586327,73.637001,80598269952.000000,1167624448.000000,-16.912060,-16.963463,-18.684891,0.257774,1.050873
35.832848,97.069305,7.100084,80603758592.000000,6818884608.000000,-15.915532,-16.180647,-19.531166,0.405436,1.360970
8.717833,79.147224,53.257191,80686931968.000000,1281689984.000000,-15.616690,-15.712407,-17.985088,0.476484,1.542042
52.706299,5.698926,74.446709,80823287808.000000,3686452992.000000,-16.398239,-16.495026,-19.005615,0.343380,1.122746
85.520042,12.871669,66.347748,81131552768.000000,5716188672.000000,-14.826043,-15.116774,-19.026491,0.539869,1.588249
79.661293,73.745476,15.918947,81370505216.000000,1020813952.000000,-16.572323,-16.600346,-18.193916,0.342556,1.166456
64.656708,33.222023,61.202408,81528397824.000000,1043379968.000000,-15.600161,-15.754224,-18.003220,0.342957,1.265831
37.276203,27.749094,48.308449,81563287552.000000,1147039488.000000,-15.621563,-15.731804,-18.069384,0.431465,1.426550
53.161007,9.382571,8.548782,81816338432.000000,4041614336.000000,-16.938768,-17.060669,-19.316679,0.400166,1.327156
91.723991,74.636986,47.849606,82205212672.000000,10822329344.000000,-18.004763,-18.012175,-20.083725,0.351923,1.144907
48.767799,1.282860,3.009559,82507112448.000000,2782142720.000000,-16.847603,-16.910696,-18.885073,0.362448,1.236687
6.066435,59.337906,48.969875,82851020800.000000,1070069568.000000,-14.089219,-14.218060,-17.281034,0.581791,1.785895
56.104603,48.488934,18.409168,82866913280.000000,1290413056.000000,-15.149244,-15.305662,-17.976917,0.466589,1.564711
58.682110,84.346222,24.601046,82892619776.000000,1280500992.000000,-16.014982,-16.066818,-18.059156,0.380640,1.217731
5.147502,57.607651,38.859039,82998476800.000000,5061391360.000000,-17.963594,-18.024723,-19.855942,0.301689,1.053476
